ds,y
2018/1/1,2926
2018/1/2,2687.531
2018/1/3,2793
2018/1/4,2394
2018/1/5,2660
2018/1/6,2527
2018/1/7,2527
2018/1/8,2793
2018/1/9,2793
2018/1/10,2793
2018/1/11,2926
2018/1/12,2793
2018/1/13,2869.8208
2018/1/14,3325
2018/1/15,2261
2018/1/16,2261
2018/1/17,2253.685
2018/1/18,2394
2018/1/19,2394
2018/1/20,2394
2018/1/21,2527
2018/1/22,2793
2018/1/23,2660
2018/1/24,2547.1362
2018/1/25,2926
2018/1/26,2926
2018/1/27,3059
2018/1/28,2853.1027
2018/1/29,2793
2018/1/30,2793
2018/1/31,2816.4745
2018/2/1,2231.1548
2018/2/2,5212.004
2018/2/3,5032.853
2018/2/4,2253.685
2018/2/5,2261
2018/2/6,2261
2018/2/7,2253.685
2018/2/8,2253.685
2018/2/9,2394
2018/2/10,2527
2018/2/11,2380.1148
2018/2/12,2660
2018/2/13,2380.1148
2018/2/14,2793
2018/2/15,3059
2018/2/16,3040.0076
2018/2/17,2926
2018/2/18,2926
2018/2/19,2660
2018/2/20,2793
2018/2/21,2510.7208
2018/2/22,5105.0587
2018/2/23,3667.6346
2018/2/24,2300.0488
2018/2/25,2775.3642
2018/2/26,2582.062
2018/2/27,2527
2018/2/28,2394
2018/3/1,2793
2018/3/2,2793
2018/3/3,2793
2018/3/4,3021.0152
2018/3/5,4752.09
2018/3/6,2082.514
2018/3/7,2042.8135
2018/3/8,2201.6022
2018/3/9,2246.0774
2018/3/10,2171.757
2018/3/11,2042.8135
2018/3/12,2261
2018/3/13,2231.1548
2018/3/14,2386.3525
2018/3/15,2394
2018/3/16,2394
2018/3/17,2527
2018/3/18,2527
2018/3/19,2660
2018/3/20,2660
2018/3/21,5042.961
2018/3/22,2176.5051
2018/3/23,2331.9023
2018/3/24,2527
2018/3/25,2261
2018/3/26,2519.02
2018/3/27,4927.5968
2018/3/28,2784.355
2018/3/29,2394
2018/3/30,2527
2018/3/31,2527
2018/4/1,2331.9023
2018/4/2,2527
2018/4/3,2378.3991
2018/4/4,2142.2044
2018/4/5,2201.6022
2018/4/6,2231.1548
2018/4/7,2253.685
2018/4/8,2261
2018/4/9,2261
2018/4/10,2238.7624
2018/4/11,2261
2018/4/12,2394
2018/4/13,2261
2018/4/14,2253.685
2018/4/15,2394
2018/4/16,2261
2018/4/17,2261
2018/4/18,5204.7023
2018/4/19,2128
2018/4/20,2171.757
2018/4/21,2128
2018/4/22,2128
2018/4/23,2128
2018/4/24,2128
2018/4/25,2128
2018/4/26,2261
2018/4/27,2261
2018/4/28,5187
2018/4/29,5187
2018/4/30,5187
2018/5/1,5306.434
2018/5/2,2121.0175
2018/5/3,5320
2018/5/4,2128
2018/5/5,2128
2018/5/6,5320
2018/5/7,5110.658
2018/5/8,5238.87
2018/5/9,2261
2018/5/10,5187
2018/5/11,5054
2018/5/12,4921
2018/5/13,4788
2018/5/14,4921
2018/5/15,4921
2018/5/16,4921
2018/5/17,4921
2018/5/18,5054
2018/5/19,4921
2018/5/20,5054
2018/5/21,4788
2018/5/22,4788
2018/5/23,4921
2018/5/24,5054
2018/5/25,5054
2018/5/26,5054
2018/5/27,5005.4018
2018/5/28,4783.079
2018/5/29,5054
2018/5/30,5048.015
2018/5/31,4522
2018/6/1,4522
2018/6/2,4522
2018/6/3,4921
2018/6/4,4788
2018/6/5,4788
2018/6/6,4788
2018/6/7,4743.0593
2018/6/8,4897.9378
2018/6/9,5054
2018/6/10,4915.3475
2018/6/11,4788
2018/6/12,4522
2018/6/13,4921
2018/6/14,5054
2018/6/15,4921
2018/6/16,4522
2018/6/17,4522
2018/6/18,4389
2018/6/19,4389
2018/6/20,4380.1821
2018/6/21,4517.345
2018/6/22,4788
2018/6/23,4522
2018/6/24,4522
2018/6/25,4788
2018/6/26,4909.4689
2018/6/27,4723.096
2018/6/28,4921
2018/6/29,4389
2018/6/30,4788
2018/7/1,5048.015
2018/7/2,5048.015
2018/7/3,4921
2018/7/4,5054
2018/7/5,4980.983
2018/7/6,5266.002
2018/7/7,5705.7
2018/7/8,4974.2
2018/7/9,4681.6
2018/7/10,4974.2
